model,game,framing,run,raw,choice
gpt-4o,Prisoner's Dilemma,business,5,B,B
gpt-4o,Prisoner's Dilemma,business,6,B,B
gpt-4o,Prisoner's Dilemma,business,7,B,B
gpt-4o,Prisoner's Dilemma,business,8,B,B
gpt-4o,Prisoner's Dilemma,business,9,B,B
gpt-4o,Prisoner's Dilemma,business,10,B,B
gpt-4o,Prisoner's Dilemma,business,11,B,B
gpt-4o,Prisoner's Dilemma,business,12,B,B
gpt-4o,Prisoner's Dilemma,business,13,B,B
gpt-4o,Prisoner's Dilemma,business,14,B,B
gpt-4o,Prisoner's Dilemma,business,15,B,B
gpt-4o,Prisoner's Dilemma,business,16,B,B
gpt-4o,Prisoner's Dilemma,business,17,B,B
gpt-4o,Prisoner's Dilemma,business,18,B,B
gpt-4o,Prisoner's Dilemma,business,19,B,B
gpt-4o,Prisoner's Dilemma,business,20,B,B
gpt-4o,Prisoner's Dilemma,business,21,B,B
gpt-4o,Prisoner's Dilemma,business,22,B,B
gpt-4o,Prisoner's Dilemma,business,23,B,B
gpt-4o,Prisoner's Dilemma,business,24,B,B
gpt-4o,Prisoner's Dilemma,climate,0,B,B
gpt-4o,Prisoner's Dilemma,climate,1,B,B
gpt-4o,Prisoner's Dilemma,climate,2,B,B
gpt-4o,Prisoner's Dilemma,climate,3,B,B
gpt-4o,Prisoner's Dilemma,climate,4,B,B
gpt-4o,Prisoner's Dilemma,climate,5,B,B
gpt-4o,Prisoner's Dilemma,climate,6,B,B
gpt-4o,Prisoner's Dilemma,climate,7,B,B
gpt-4o,Prisoner's Dilemma,climate,8,B,B
gpt-4o,Prisoner's Dilemma,climate,9,B,B
gpt-4o,Prisoner's Dilemma,climate,10,B,B
gpt-4o,Prisoner's Dilemma,climate,11,B,B
gpt-4o,Prisoner's Dilemma,climate,12,B,B
gpt-4o,Prisoner's Dilemma,climate,13,B,B
gpt-4o,Prisoner's Dilemma,climate,14,B,B
gpt-4o,Prisoner's Dilemma,climate,15,B,B
gpt-4o,Prisoner's Dilemma,climate,16,B,B
gpt-4o,Prisoner's Dilemma,climate,17,B,B
gpt-4o,Prisoner's Dilemma,climate,18,B,B
gpt-4o,Prisoner's Dilemma,climate,19,B,B
gpt-4o,Prisoner's Dilemma,climate,20,B,B
gpt-4o,Prisoner's Dilemma,climate,21,B,B
gpt-4o,Prisoner's Dilemma,climate,22,B,B
gpt-4o,Prisoner's Dilemma,climate,23,B,B
gpt-4o,Prisoner's Dilemma,climate,24,B,B
gpt-4o,Stag Hunt,neutral,0,A,A
gpt-4o,Stag Hunt,neutral,1,B,B
gpt-4o,Stag Hunt,neutral,2,B,B
gpt-4o,Stag Hunt,neutral,3,A,A
gpt-4o,Stag Hunt,neutral,4,B,B
gpt-4o,Stag Hunt,neutral,5,B,B
gpt-4o,Stag Hunt,neutral,6,B,B
gpt-4o,Stag Hunt,neutral,7,B,B
gpt-4o,Stag Hunt,neutral,8,B,B
gpt-4o,Stag Hunt,neutral,9,A,A
gpt-4o,Stag Hunt,neutral,10,B,B
gpt-4o,Stag Hunt,neutral,11,A,A
gpt-4o,Stag Hunt,neutral,12,B,B
gpt-4o,Stag Hunt,neutral,13,B,B
gpt-4o,Stag Hunt,neutral,14,A,A
gpt-4o,Stag Hunt,neutral,15,B,B
gpt-4o,Stag Hunt,neutral,16,B,B
gpt-4o,Stag Hunt,neutral,17,A,A
gpt-4o,Stag Hunt,neutral,18,B,B
gpt-4o,Stag Hunt,neutral,19,B,B
gpt-4o,Stag Hunt,neutral,20,B,B
gpt-4o,Stag Hunt,neutral,21,A,A
gpt-4o,Stag Hunt,neutral,22,A,A
gpt-4o,Stag Hunt,neutral,23,A,A
gpt-4o,Stag Hunt,neutral,24,A,A
gpt-4o,Stag Hunt,business,0,B,B
gpt-4o,Stag Hunt,business,1,B,B
gpt-4o,Stag Hunt,business,2,B,B
gpt-4o,Stag Hunt,business,3,B,B
gpt-4o,Stag Hunt,business,4,B,B
gpt-4o,Stag Hunt,business,5,B,B
gpt-4o,Stag Hunt,business,6,B,B
gpt-4o,Stag Hunt,business,7,B,B
gpt-4o,Stag Hunt,business,8,B,B
gpt-4o,Stag Hunt,business,9,B,B
gpt-4o,Stag Hunt,business,10,B,B
gpt-4o,Stag Hunt,business,11,B,B
gpt-4o,Stag Hunt,business,12,B,B
gpt-4o,Stag Hunt,business,13,B,B
gpt-4o,Stag Hunt,business,14,B,B
gpt-4o,Stag Hunt,business,15,B,B
gpt-4o,Stag Hunt,business,16,B,B
gpt-4o,Stag Hunt,business,17,B,B
gpt-4o,Stag Hunt,business,18,B,B
gpt-4o,Stag Hunt,business,19,B,B
gpt-4o,Stag Hunt,business,20,B,B
gpt-4o,Stag Hunt,business,21,B,B
gpt-4o,Stag Hunt,business,22,B,B
gpt-4o,Stag Hunt,business,23,B,B
gpt-4o,Stag Hunt,business,24,B,B
gpt-4o,Stag Hunt,climate,0,B,B
gpt-4o,Stag Hunt,climate,1,B,B
gpt-4o,Stag Hunt,climate,2,B,B
gpt-4o,Stag Hunt,climate,3,B,B
gpt-4o,Stag Hunt,climate,4,B,B
gpt-4o,Stag Hunt,climate,5,B,B
gpt-4o,Stag Hunt,climate,6,B,B
gpt-4o,Stag Hunt,climate,7,B,B
gpt-4o,Stag Hunt,climate,8,B,B
gpt-4o,Stag Hunt,climate,9,B,B
gpt-4o,Stag Hunt,climate,10,B,B
gpt-4o,Stag Hunt,climate,11,B,B
gpt-4o,Stag Hunt,climate,12,B,B
gpt-4o,Stag Hunt,climate,13,B,B
gpt-4o,Stag Hunt,climate,14,B,B
gpt-4o,Stag Hunt,climate,15,B,B
gpt-4o,Stag Hunt,climate,16,B,B
gpt-4o,Stag Hunt,climate,17,B,B
gpt-4o,Stag Hunt,climate,18,B,B
gpt-4o,Stag Hunt,climate,19,B,B
gpt-4o,Stag Hunt,climate,20,B,B
gpt-4o,Stag Hunt,climate,21,B,B
gpt-4o,Stag Hunt,climate,22,B,B
gpt-4o,Stag Hunt,climate,23,B,B
gpt-4o,Stag Hunt,climate,24,B,B
